RECTIME,RANGVX,RANGX
5.53,-41.5649,-144.58
5.54,-39.917,-145.0689
5.55,-38.8794,-145.5413
5.56,-38.208,-146.0138
5.57,-37.4145,-146.4752
5.58,-36.6821,-146.9311
5.59,-36.8652,-147.3761
5.6,-37.5366,-147.8155
5.61,-38.208,-148.2605
5.62,-39.1845,-148.7054
5.63,-40.2221,-149.1613
5.64,-41.1377,-149.6228
5.65,-41.8701,-150.0842
5.66,-42.8467,-150.5566
5.67,-44.0674,-151.029
5.68,-45.8374,-151.5124
5.69,-47.4853,-152.0068
5.7,-48.645,-152.5232
5.71,-50.5981,-153.0505
5.72,-53.5888,-153.5943
5.73,-56.6406,-154.1656
5.74,-60.6079,-154.7589
5.75,-64.8803,-155.3851
5.76,-68.4204,-156.0443
5.77,-70.6787,-156.7309
5.78,-71.7163,-157.434
5.79,-71.8994,-158.1317
5.8,-71.6552,-158.8348
5.81,-70.9839,-159.5324
5.82,-69.9463,-160.2356
5.83,-68.4814,-160.9387
5.84,-67.1997,-161.6363
5.85,-66.101,-162.3449
5.86,-65.0634,-163.0535
5.87,-63.8427,-163.7567
5.88,-62.9272,-164.4543
5.89,-62.6831,-165.1464
5.9,-62.5,-165.8496
5.91,-61.5234,-166.5637
5.92,-59.3872,-167.2778
5.93,-56.9458,-167.9754
5.94,-54.6875,-168.6511
5.95,-52.063,-169.2993
5.96,-48.706,-169.9255
5.97,-44.6777,-170.5188
5.98,-40.5273,-171.0791
5.99,-35.6445,-171.6009
6,-30.3955,-172.0733
6.01,-24.9023,-172.4963
6.02,-19.5312,-172.8643
6.03,-14.1601,-173.1665
6.04,-8.789,-173.4027
6.05,-4.0283,-173.573
6.06,0.3662,-173.6828
6.07,4.5166,-173.7378
6.08,8.3008,-173.7378
6.09,11.6577,-173.6883
6.1,14.5874,-173.5839
6.11,17.395,-173.4466
6.12,19.8975,-173.2653
6.13,21.5454,-173.0456
6.14,22.583,-172.7984
6.15,22.9492,-172.5293
6.16,22.0948,-172.2436
6.17,20.3858,-171.958
6.18,18.3106,-171.6943
6.19,15.503,-171.4416
6.2,13.6719,-171.2219
6.21,10.6812,-171.0186
6.22,6.6529,-170.8429
6.23,2.8687,-170.7165
6.24,-1.1596,-170.6286
6.25,-5.7373,-170.5957
6.26,-9.8266,-170.6121
6.27,-13.4887,-170.689
6.28,-16.9067,-170.7989
6.29,-19.2871,-170.9582
6.3,-20.4467,-171.145
6.31,-20.813,-171.3427
6.32,-20.5078,-171.5515
6.33,-19.6533,-171.7602
6.34,-18.4326,-171.969
6.35,-16.9677,-172.1667
6.36,-15.2588,-172.3645
6.37,-13.4277,-172.5567
6.38,-11.5967,-172.738
6.39,-9.9487,-172.8973
6.4,-8.3008,-173.0291
6.41,-6.7749,-173.1335
6.42,-5.3711,-173.1994
6.43,-3.9062,-173.2434
6.44,-2.5024,-173.2598
6.45,-1.4038,-173.2598
6.46,-0.6103,-173.2434
6.47,0.3662,-173.2104
6.48,1.0376,-173.172
6.49,1.648,-173.117
6.5,2.5025,-173.0511
6.51,3.479,-172.9797
6.52,4.2115,-172.8973
6.53,4.6387,-172.8204
6.54,4.8218,-172.738
6.55,4.6387,-172.6666
6.56,4.2725,-172.6007
6.57,3.7232,-172.5402
6.58,3.0518,-172.4853
6.59,2.3804,-172.4414
6.6,1.709,-172.3974
6.61,1.0987,-172.359
6.62,0.3662,-172.3205
6.63,-0.2441,-172.2821
6.64,-0.9765,-172.2546
6.65,-1.6479,-172.2326
6.66,-2.5024,-172.2216
6.67,-3.2959,-172.2216
6.68,-4.1504,-172.2381
6.69,-5.0049,-172.2711
6.7,-5.9814,-172.315
6.71,-7.019,-172.3754
6.72,-8.1176,-172.4578
6.73,-8.9111,-172.5567
6.74,-9.3994,-172.6776
6.75,-9.4604,-172.8149
6.76,-9.0332,-172.9522
6.77,-7.8735,-173.0951
6.78,-6.2866,-173.2214
6.79,-4.2114,-173.3203
6.8,-1.77,-173.3917
6.81,0.8545,-173.4246
6.82,3.479,-173.4246
6.83,5.7373,-173.3862
6.84,7.6905,-173.3258
6.85,9.1553,-173.2379
6.86,10.2539,-173.128
6.87,10.9253,-173.0017
6.88,11.1695,-172.8698
6.89,11.0474,-172.7325
6.9,10.5591,-172.6007
6.91,9.8267,-172.4743
6.92,8.9112,-172.359
6.93,7.8125,-172.2491
6.94,6.897,-172.1502
6.95,5.9204,-172.0459
6.96,5.127,-171.9525
6.97,4.2725,-171.8591
6.98,3.418,-171.7822
6.99,3.418,-171.7108
7,2.4414,-171.6449
7.01,1.4649,-171.5899
7.02,0.4273,-171.5405
7.03,-0.3662,-171.513
7.04,-1.1596,-171.491
7.05,-1.831,-171.4801
7.06,-2.3803,-171.4746
7.07,-2.8076,-171.4801
7.08,-3.1128,-171.491
7.09,-3.2959,-171.5075
7.1,-3.601,-171.535
7.11,-3.6621,-171.5625
7.12,-3.7231,-171.5954
7.13,-3.7842,-171.6284
7.14,-3.7842,-171.6668
7.15,-3.6621,-171.7053
7.16,-3.601,-171.7492
7.17,-3.3569,-171.7877
7.18,-3.1738,-171.8316
7.19,-2.8686,-171.8756
7.2,-2.5634,-171.914
7.21,-2.1362,-171.958
7.22,-1.4648,-172.0019
7.23,-0.4272,-172.0349
7.24,0.9156,-172.0568
7.25,2.4414,-172.0678
7.26,4.1504,-172.0568
7.27,5.9204,-172.0294
7.28,7.5684,-171.9744
7.29,8.9112,-171.903
7.3,10.0708,-171.8206
7.31,10.9864,-171.7163
7.32,11.5967,-171.5954
7.33,12.024,-171.4691
7.34,12.146,-171.3263
7.35,12.085,-171.1779
7.36,11.7798,-171.0296
7.37,11.2305,-170.8758
7.38,10.6201,-170.7275
7.39,9.7046,-170.5792
7.4,8.606,-170.4419
7.41,7.4463,-170.321
7.42,6.2867,-170.2166
7.43,5.3101,-170.1287
7.44,4.5166,-170.0518
7.45,4.0284,-169.9969
7.46,3.7842,-169.9475
7.47,3.9673,-169.9035
7.48,4.6387,-169.8596
7.49,5.6153,-169.8046
7.5,6.7749,-169.7442
7.51,7.9346,-169.6673
7.52,8.8501,-169.5739
7.53,9.6436,-169.4751
7.54,10.0098,-169.3652
7.55,9.8877,-169.2498
7.56,9.3994,-169.1345
7.57,8.4839,-169.0246
7.58,7.3853,-168.9202
7.59,6.2256,-168.8269
7.6,4.9439,-168.75
7.61,3.7232,-168.6785
7.62,2.5635,-168.6236
7.63,1.648,-168.5797
7.64,1.0376,-168.5412
7.65,0.3662,-168.5138
7.66,-0.2441,-168.4863
7.67,-0.8545,-168.4643
7.68,-1.5258,-168.4423
7.69,-2.1972,-168.4369
7.7,-2.9297,-168.4369
7.71,-3.54,-168.4478
7.72,-4.0283,-168.4698
7.73,-4.3335,-168.5028
7.74,-4.4555,-168.5357
7.75,-4.3335,-168.5742
7.76,-4.2114,-168.6126
7.77,-4.1504,-168.6511
7.78,-4.0893,-168.6895
7.79,-3.9673,-168.728
7.8,-4.0283,-168.7719
7.81,-4.1504,-168.8104
7.82,-4.3335,-168.8543
7.83,-4.4555,-168.9038
7.84,-4.3945,-168.9532
7.85,-4.3945,-169.0026
7.86,-4.2724,-169.0521
7.87,-4.0283,-169.096
7.88,-3.9062,-169.14
7.89,-3.8452,-169.1839
7.9,-3.7842,-169.2279
7.91,-3.54,-169.2718
